show,description
Victor / Victoria,"The show 'Victor / Victoria' ran from 1995-10-08 to 1997-07-27. It had an average weekly revenue of $618,463.40 and a total revenue of $58,754,023.00."
Dream,"The show 'Dream' ran from 1997-03-16 to 1997-07-06. It had an average weekly revenue of $194,814.88 and a total revenue of $3,311,853.00."
An American Daughter,"The show 'An American Daughter' ran from 1997-03-23 to 1997-06-29. It had an average weekly revenue of $180,834.40 and a total revenue of $2,712,516.00."
London Assurance,"The show 'London Assurance' ran from 1997-04-20 to 1997-06-29. It had an average weekly revenue of $135,815.18 and a total revenue of $1,493,967.00."
Steel Pier,"The show 'Steel Pier' ran from 1997-03-30 to 1997-06-29. It had an average weekly revenue of $399,108.79 and a total revenue of $5,587,523.00."
Rob Becker's Defending the Caveman,"The show 'Rob Becker's Defending the Caveman' ran from 1995-03-05 to 1997-06-22. It had an average weekly revenue of $101,151.13 and a total revenue of $11,632,380.00."
The Young Man from Atlanta,"The show 'The Young Man from Atlanta' ran from 1997-03-16 to 1997-06-08. It had an average weekly revenue of $103,091.31 and a total revenue of $1,340,187.00."
Once Upon a Mattress,"The show 'Once Upon a Mattress' ran from 1996-11-24 to 1997-06-01. It had an average weekly revenue of $285,418.89 and a total revenue of $7,991,729.00."
King David,"The show 'King David' ran from 1997-05-18 to 1997-05-25. It had an average weekly revenue of $338,656.50 and a total revenue of $677,313.00."
Play On!,"The show 'Play On!' ran from 1997-03-09 to 1997-05-11. It had an average weekly revenue of $140,269.20 and a total revenue of $1,402,692.00."
Stanley,"The show 'Stanley' ran from 1997-02-09 to 1997-04-27. It had an average weekly revenue of $99,797.08 and a total revenue of $1,197,565.00."
The Three Sisters,"The show 'The Three Sisters' ran from 1997-01-26 to 1997-04-06. It had an average weekly revenue of $155,354.91 and a total revenue of $1,708,904.00."
Mandy Patinkin in Concert,"The show 'Mandy Patinkin in Concert' ran from 1997-03-02 to 1997-03-23. It had an average weekly revenue of $140,906.75 and a total revenue of $563,627.00."
Men Are from Mars Women Are from Venus,"The show 'Men Are from Mars Women Are from Venus' ran from 1997-02-02 to 1997-02-02. It had an average weekly revenue of $358,316.00 and a total revenue of $358,316.00."
An Ideal Husband,"The show 'An Ideal Husband' ran from 1996-04-28 to 1997-01-26. It had an average weekly revenue of $193,883.52 and a total revenue of $7,755,341.00."
It's a Slippery Slope,"The show 'It's a Slippery Slope' ran from 1996-11-03 to 1997-01-12. It had an average weekly revenue of $37,277.00 and a total revenue of $410,047.00."
The Rehearsal,"The show 'The Rehearsal' ran from 1996-11-03 to 1997-01-12. It had an average weekly revenue of $104,337.45 and a total revenue of $1,147,712.00."
Juan Darien,"The show 'Juan Darien' ran from 1996-11-10 to 1997-01-05. It had an average weekly revenue of $131,903.22 and a total revenue of $1,187,129.00."
Love Thy Neighbor,"The show 'Love Thy Neighbor' ran from 1996-03-24 to 1997-01-05. It had an average weekly revenue of $93,540.05 and a total revenue of $3,741,602.00."
Show Boat,"The show 'Show Boat' ran from 1994-09-25 to 1997-01-05. It had an average weekly revenue of $743,097.60 and a total revenue of $89,171,712.00."
David Copperfield: Dreams and Nightmares,"The show 'David Copperfield: Dreams and Nightmares' ran from 1996-12-01 to 1996-12-29. It had an average weekly revenue of $1,206,738.20 and a total revenue of $6,033,691.00."
Taking Sides,"The show 'Taking Sides' ran from 1991-02-03 to 1996-12-29. It had an average weekly revenue of $97,529.84 and a total revenue of $2,438,246.00."
"Julia Sweeney's God Said ""Ha!""","The show 'Julia Sweeney's God Said ""Ha!""' ran from 1996-11-10 to 1996-12-08. It had an average weekly revenue of $57,262.00 and a total revenue of $286,310.00."
Sex and Longing,"The show 'Sex and Longing' ran from 1996-09-15 to 1996-11-17. It had an average weekly revenue of $147,493.60 and a total revenue of $1,474,936.00."
Summer and Smoke,"The show 'Summer and Smoke' ran from 1996-08-18 to 1996-10-20. It had an average weekly revenue of $119,441.80 and a total revenue of $1,194,418.00."
Big,"The show 'Big' ran from 1996-04-14 to 1996-10-13. It had an average weekly revenue of $360,625.07 and a total revenue of $9,736,877.00."
Seven Guitars,"The show 'Seven Guitars' ran from 1996-03-17 to 1996-09-08. It had an average weekly revenue of $166,968.54 and a total revenue of $4,341,182.00."
Buried Child,"The show 'Buried Child' ran from 1996-04-21 to 1996-06-30. It had an average weekly revenue of $123,801.82 and a total revenue of $1,361,820.00."
Moon Over Buffalo,"The show 'Moon Over Buffalo' ran from 1995-09-17 to 1996-06-30. It had an average weekly revenue of $270,727.05 and a total revenue of $11,370,536.00."
State Fair,"The show 'State Fair' ran from 1996-03-24 to 1996-06-30. It had an average weekly revenue of $195,122.87 and a total revenue of $2,926,843.00."
A Midsummer Night's Dream,"The show 'A Midsummer Night's Dream' ran from 1996-03-24 to 1996-05-26. It had an average weekly revenue of $273,125.40 and a total revenue of $2,731,254.00."
The Night of the Iguana,"The show 'The Night of the Iguana' ran from 1988-06-19 to 1996-05-19. It had an average weekly revenue of $91,719.61 and a total revenue of $2,109,551.00."
Jack: A Night on the Town with John Barrymore,"The show 'Jack: A Night on the Town with John Barrymore' ran from 1996-04-21 to 1996-05-05. It had an average weekly revenue of $24,499.33 and a total revenue of $73,498.00."
Bus Stop,"The show 'Bus Stop' ran from 1996-02-04 to 1996-03-17. It had an average weekly revenue of $84,269.71 and a total revenue of $589,888.00."
Holiday,"The show 'Holiday' ran from 1995-11-19 to 1996-01-14. It had an average weekly revenue of $82,338.89 and a total revenue of $741,050.00."
Swinging on a Star,"The show 'Swinging on a Star' ran from 1995-10-08 to 1996-01-14. It had an average weekly revenue of $118,138.87 and a total revenue of $1,772,083.00."
Crazy for You,"The show 'Crazy for You' ran from 1992-02-02 to 1996-01-07. It had an average weekly revenue of $449,630.40 and a total revenue of $92,174,232.00."
Having Our Say: The Delany Sisters' First 100 Years,"The show 'Having Our Say: The Delany Sisters' First 100 Years' ran from 1995-03-19 to 1995-12-31. It had an average weekly revenue of $127,193.81 and a total revenue of $5,342,140.00."
Paul Robeson,"The show 'Paul Robeson' ran from 1988-09-25 to 1995-12-31. It had an average weekly revenue of $84,021.80 and a total revenue of $420,109.00."
Racing Demon,"The show 'Racing Demon' ran from 1995-11-12 to 1995-12-31. It had an average weekly revenue of $145,027.00 and a total revenue of $1,160,216.00."
The Tempest,"The show 'The Tempest' ran from 1995-10-15 to 1995-12-31. It had an average weekly revenue of $384,106.42 and a total revenue of $4,609,277.00."
The School for Scandal,"The show 'The School for Scandal' ran from 1995-11-19 to 1995-12-17. It had an average weekly revenue of $53,530.00 and a total revenue of $267,650.00."
Patti LuPone on Broadway,"The show 'Patti LuPone on Broadway' ran from 1995-10-08 to 1995-11-26. It had an average weekly revenue of $205,044.88 and a total revenue of $1,640,359.00."
Sacrilege,"The show 'Sacrilege' ran from 1995-10-29 to 1995-11-19. It had an average weekly revenue of $89,363.50 and a total revenue of $357,454.00."
Danny Gans on Broadway: The Man of Many Voices,"The show 'Danny Gans on Broadway: The Man of Many Voices' ran from 1995-11-05 to 1995-11-12. It had an average weekly revenue of $42,181.00 and a total revenue of $84,362.00."
Indiscretions,"The show 'Indiscretions' ran from 1995-04-09 to 1995-11-05. It had an average weekly revenue of $225,479.68 and a total revenue of $6,989,870.00."
Love! Valour! Compassion!,"The show 'Love! Valour! Compassion!' ran from 1995-01-22 to 1995-09-17. It had an average weekly revenue of $167,132.37 and a total revenue of $5,849,633.00."
The Play's the Thing,"The show 'The Play's the Thing' ran from 1995-06-18 to 1995-08-20. It had an average weekly revenue of $96,999.10 and a total revenue of $969,991.00."
Damn Yankees,"The show 'Damn Yankees' ran from 1994-02-20 to 1995-08-06. It had an average weekly revenue of $404,545.81 and a total revenue of $27,913,661.00."
Hamlet,"The show 'Hamlet' ran from 1992-03-15 to 1995-07-23. It had an average weekly revenue of $240,013.08 and a total revenue of $5,760,314.00."
Buttons on Broadway,"The show 'Buttons on Broadway' ran from 1995-06-11 to 1995-07-16. It had an average weekly revenue of $60,763.50 and a total revenue of $364,581.00."
Chronicle of a Death Foretold,"The show 'Chronicle of a Death Foretold' ran from 1995-05-21 to 1995-07-16. It had an average weekly revenue of $114,597.89 and a total revenue of $1,031,381.00."
Kiss of the Spider Woman,"The show 'Kiss of the Spider Woman' ran from 1993-04-25 to 1995-07-02. It had an average weekly revenue of $376,268.62 and a total revenue of $38,379,399.00."
A Month in the Country,"The show 'A Month in the Country' ran from 1995-04-09 to 1995-06-11. It had an average weekly revenue of $140,737.10 and a total revenue of $1,407,371.00."
Jackie Mason: Politically Incorrect,"The show 'Jackie Mason: Politically Incorrect' ran from 1994-03-27 to 1995-06-04. It had an average weekly revenue of $85,785.14 and a total revenue of $5,061,323.00."
An Inspector Calls,"The show 'An Inspector Calls' ran from 1994-04-17 to 1995-05-28. It had an average weekly revenue of $248,046.07 and a total revenue of $14,138,626.00."
My Thing of Love,"The show 'My Thing of Love' ran from 1995-04-23 to 1995-05-14. It had an average weekly revenue of $69,190.75 and a total revenue of $276,763.00."
On the Waterfront,"The show 'On the Waterfront' ran from 1995-04-23 to 1995-05-07. It had an average weekly revenue of $125,296.67 and a total revenue of $375,890.00."
Blood Brothers,"The show 'Blood Brothers' ran from 1993-12-12 to 1995-04-30. It had an average weekly revenue of $177,249.69 and a total revenue of $9,571,483.00."
Passion,"The show 'Passion' ran from 1994-03-27 to 1995-01-08. It had an average weekly revenue of $254,286.55 and a total revenue of $10,680,035.00."
"The Flying Karamazov Brothers ""Do the Impossible""","The show 'The Flying Karamazov Brothers ""Do the Impossible""' ran from 1994-11-20 to 1995-01-01. It had an average weekly revenue of $94,115.43 and a total revenue of $658,808.00."
The Shadow Box,"The show 'The Shadow Box' ran from 1994-11-06 to 1995-01-01. It had an average weekly revenue of $70,733.11 and a total revenue of $636,598.00."
A Tuna Christmas,"The show 'A Tuna Christmas' ran from 1994-12-11 to 1995-01-01. It had an average weekly revenue of $116,269.50 and a total revenue of $465,078.00."
Comedy Tonight,"The show 'Comedy Tonight' ran from 1994-12-18 to 1994-12-25. It had an average weekly revenue of $67,257.00 and a total revenue of $134,514.00."
What's Wrong with This Picture?,"The show 'What's Wrong with This Picture?' ran from 1994-11-20 to 1994-12-18. It had an average weekly revenue of $121,788.40 and a total revenue of $608,942.00."
Basia on Broadway,The show 'Basia on Broadway' ran from 1994-11-20 to 1994-11-27. It had an average weekly revenue of $0.00 and a total revenue of $0.00.
Philadelphia Here I Come!,"The show 'Philadelphia Here I Come!' ran from 1994-08-21 to 1994-10-23. It had an average weekly revenue of $118,144.20 and a total revenue of $1,181,442.00."
Laughter on the 23rd Floor,"The show 'Laughter on the 23rd Floor' ran from 1993-11-07 to 1994-08-28. It had an average weekly revenue of $193,636.19 and a total revenue of $8,326,356.00."
The Sisters Rosensweig,"The show 'The Sisters Rosensweig' ran from 1993-03-07 to 1994-07-17. It had an average weekly revenue of $265,084.40 and a total revenue of $19,086,077.00."
Broken Glass,"The show 'Broken Glass' ran from 1994-04-17 to 1994-06-26. It had an average weekly revenue of $126,678.27 and a total revenue of $1,393,461.00."
Ian McKellen: A Knight Out at the Lyceum,"The show 'Ian McKellen: A Knight Out at the Lyceum' ran from 1994-06-26 to 1994-06-26. It had an average weekly revenue of $192,571.00 and a total revenue of $192,571.00."
Sally Marr...and Her Escorts,"The show 'Sally Marr...and Her Escorts' ran from 1994-04-17 to 1994-06-19. It had an average weekly revenue of $67,915.60 and a total revenue of $679,156.00."
Twilight: Los Angeles 1992,"The show 'Twilight: Los Angeles 1992' ran from 1994-04-10 to 1994-06-19. It had an average weekly revenue of $100,611.18 and a total revenue of $1,106,723.00."
Joseph and the Amazing Technicolor Dreamcoat,"The show 'Joseph and the Amazing Technicolor Dreamcoat' ran from 1993-12-26 to 1994-05-29. It had an average weekly revenue of $452,308.31 and a total revenue of $7,236,933.00."
The Rise and Fall of Little Voice,"The show 'The Rise and Fall of Little Voice' ran from 1994-04-17 to 1994-05-08. It had an average weekly revenue of $48,300.75 and a total revenue of $193,203.00."
The Flowering Peach,"The show 'The Flowering Peach' ran from 1994-03-13 to 1994-04-24. It had an average weekly revenue of $50,686.43 and a total revenue of $354,805.00."
A Little More Magic,"The show 'A Little More Magic' ran from 1994-03-20 to 1994-04-03. It had an average weekly revenue of $53,333.33 and a total revenue of $160,000.00."
Cyrano - The Musical,"The show 'Cyrano - The Musical' ran from 1993-10-24 to 1994-03-20. It had an average weekly revenue of $187,981.82 and a total revenue of $4,135,600.00."
No Man's Land,"The show 'No Man's Land' ran from 1994-01-09 to 1994-03-20. It had an average weekly revenue of $116,194.45 and a total revenue of $1,278,139.00."
Gray's Anatomy,"The show 'Gray's Anatomy' ran from 1993-11-07 to 1994-01-09. It had an average weekly revenue of $30,304.90 and a total revenue of $303,049.00."
Abe Lincoln in Illinois,"The show 'Abe Lincoln in Illinois' ran from 1993-11-07 to 1994-01-02. It had an average weekly revenue of $148,316.11 and a total revenue of $1,334,845.00."
A Grand Night for Singing,"The show 'A Grand Night for Singing' ran from 1993-10-17 to 1994-01-02. It had an average weekly revenue of $89,975.75 and a total revenue of $1,079,709.00."
Shakespeare for My Father,"The show 'Shakespeare for My Father' ran from 1993-04-25 to 1994-01-02. It had an average weekly revenue of $72,082.30 and a total revenue of $2,667,045.00."
The Red Shoes,"The show 'The Red Shoes' ran from 1993-11-07 to 1993-12-19. It had an average weekly revenue of $366,950.29 and a total revenue of $2,568,652.00."
Any Given Day,"The show 'Any Given Day' ran from 1993-11-07 to 1993-12-12. It had an average weekly revenue of $70,103.33 and a total revenue of $420,620.00."
The Kentucky Cycle,"The show 'The Kentucky Cycle' ran from 1993-11-21 to 1993-12-12. It had an average weekly revenue of $163,977.33 and a total revenue of $491,932.00."
Timon of Athens,"The show 'Timon of Athens' ran from 1993-10-24 to 1993-12-05. It had an average weekly revenue of $72,880.57 and a total revenue of $510,164.00."
Mixed Emotions,"The show 'Mixed Emotions' ran from 1993-10-03 to 1993-11-28. It had an average weekly revenue of $58,888.67 and a total revenue of $529,998.00."
The Twilight of the Golds,"The show 'The Twilight of the Golds' ran from 1993-10-10 to 1993-11-14. It had an average weekly revenue of $82,725.83 and a total revenue of $496,355.00."
Wonderful Tennessee,"The show 'Wonderful Tennessee' ran from 1993-10-10 to 1993-10-31. It had an average weekly revenue of $143,182.75 and a total revenue of $572,731.00."
Jelly's Last Jam,"The show 'Jelly's Last Jam' ran from 1992-04-05 to 1993-09-05. It had an average weekly revenue of $420,956.93 and a total revenue of $31,571,770.00."
The Will Rogers Follies,"The show 'The Will Rogers Follies' ran from 1991-04-07 to 1993-09-05. It had an average weekly revenue of $430,598.24 and a total revenue of $54,685,976.00."
In the Summer House,"The show 'In the Summer House' ran from 1993-07-11 to 1993-08-22. It had an average weekly revenue of $101,882.71 and a total revenue of $713,179.00."
The Goodbye Girl,"The show 'The Goodbye Girl' ran from 1993-02-21 to 1993-08-15. It had an average weekly revenue of $434,445.33 and a total revenue of $10,426,688.00."
Someone Who'll Watch Over Me,"The show 'Someone Who'll Watch Over Me' ran from 1992-11-22 to 1993-06-13. It had an average weekly revenue of $131,466.03 and a total revenue of $3,943,981.00."
Three Men on a Horse,"The show 'Three Men on a Horse' ran from 1993-03-28 to 1993-05-16. It had an average weekly revenue of $128,889.12 and a total revenue of $1,031,113.00."
Wilder Wilder Wilder,"The show 'Wilder Wilder Wilder' ran from 1993-04-11 to 1993-05-16. It had an average weekly revenue of $50,286.00 and a total revenue of $301,716.00."
Ain't Broadway Grand,"The show 'Ain't Broadway Grand' ran from 1993-03-28 to 1993-05-09. It had an average weekly revenue of $123,682.86 and a total revenue of $865,780.00."
The Song of Jacob Zulu,"The show 'The Song of Jacob Zulu' ran from 1993-03-21 to 1993-05-09. It had an average weekly revenue of $160,237.38 and a total revenue of $1,281,899.00."
Candida,"The show 'Candida' ran from 1993-03-07 to 1993-05-02. It had an average weekly revenue of $84,708.33 and a total revenue of $762,375.00."
Redwood Curtain,"The show 'Redwood Curtain' ran from 1993-03-21 to 1993-05-02. It had an average weekly revenue of $81,573.57 and a total revenue of $571,015.00."
Tango Pasion,"The show 'Tango Pasion' ran from 1993-04-25 to 1993-05-02. It had an average weekly revenue of $69,013.50 and a total revenue of $138,027.00."
Raffi,The show 'Raffi' ran from 1993-04-11 to 1993-04-11. It had an average weekly revenue of $0.00 and a total revenue of $0.00.
Conversations with My Father,"The show 'Conversations with My Father' ran from 1992-03-08 to 1993-03-14. It had an average weekly revenue of $188,303.98 and a total revenue of $10,168,415.00."
Face Value,"The show 'Face Value' ran from 1993-03-14 to 1993-03-14. It had an average weekly revenue of $50,114.00 and a total revenue of $50,114.00."
Anna Christie,"The show 'Anna Christie' ran from 1992-12-27 to 1993-02-28. It had an average weekly revenue of $113,897.80 and a total revenue of $1,138,978.00."
The Boys Choir of Harlem and Friends,"The show 'The Boys Choir of Harlem and Friends' ran from 1993-01-17 to 1993-01-31. It had an average weekly revenue of $60,877.00 and a total revenue of $182,631.00."
My Favorite Year,"The show 'My Favorite Year' ran from 1992-11-01 to 1993-01-10. It had an average weekly revenue of $182,306.91 and a total revenue of $2,005,376.00."
Catskills on Broadway,"The show 'Catskills on Broadway' ran from 1991-11-24 to 1993-01-03. It had an average weekly revenue of $175,859.26 and a total revenue of $10,199,837.00."
Gypsy Passion,"The show 'Gypsy Passion' ran from 1992-11-22 to 1993-01-03. It had an average weekly revenue of $87,796.29 and a total revenue of $614,574.00."
Lost in Yonkers,"The show 'Lost in Yonkers' ran from 1991-02-17 to 1993-01-03. It had an average weekly revenue of $235,976.33 and a total revenue of $23,125,680.00."
The Secret Garden,"The show 'The Secret Garden' ran from 1991-04-07 to 1993-01-03. It had an average weekly revenue of $343,585.26 and a total revenue of $31,609,844.00."
Tommy Tune Tonite!,"The show 'Tommy Tune Tonite!' ran from 1992-12-27 to 1993-01-03. It had an average weekly revenue of $372,159.50 and a total revenue of $744,319.00."
3 from Brooklyn,"The show '3 from Brooklyn' ran from 1992-11-15 to 1992-12-27. It had an average weekly revenue of $30,583.00 and a total revenue of $214,081.00."
Five Guys Named Moe,"The show 'Five Guys Named Moe' ran from 1992-03-22 to 1992-12-20. It had an average weekly revenue of $143,883.87 and a total revenue of $5,611,471.00."
The Show Off,"The show 'The Show Off' ran from 1992-10-18 to 1992-12-13. It had an average weekly revenue of $70,680.00 and a total revenue of $636,120.00."
Solitary Confinement,"The show 'Solitary Confinement' ran from 1992-11-01 to 1992-11-29. It had an average weekly revenue of $78,993.40 and a total revenue of $394,967.00."
Dancing at Lughnasa,"The show 'Dancing at Lughnasa' ran from 1991-10-13 to 1992-10-25. It had an average weekly revenue of $182,129.75 and a total revenue of $10,017,136.00."
Jake's Women,"The show 'Jake's Women' ran from 1992-03-15 to 1992-10-25. It had an average weekly revenue of $232,583.30 and a total revenue of $7,675,249.00."
Anna Karenina,"The show 'Anna Karenina' ran from 1992-08-16 to 1992-10-04. It had an average weekly revenue of $71,232.62 and a total revenue of $569,861.00."
The Real Inspector Hound and the Fifteen Minute Hamlet,"The show 'The Real Inspector Hound and the Fifteen Minute Hamlet' ran from 1992-08-02 to 1992-10-04. It had an average weekly revenue of $85,507.60 and a total revenue of $855,076.00."
The Most Happy Fella,"The show 'The Most Happy Fella' ran from 1992-04-05 to 1992-08-30. It had an average weekly revenue of $156,795.13 and a total revenue of $2,351,927.00."
Two Trains Running,"The show 'Two Trains Running' ran from 1992-04-12 to 1992-08-30. It had an average weekly revenue of $144,941.33 and a total revenue of $3,043,768.00."
Chinese Coffee,"The show 'Chinese Coffee' ran from 1992-05-31 to 1992-08-02. It had an average weekly revenue of $139,557.50 and a total revenue of $1,395,575.00."
Death and the Maiden,"The show 'Death and the Maiden' ran from 1992-02-23 to 1992-08-02. It had an average weekly revenue of $301,349.71 and a total revenue of $7,232,393.00."
A Small Family Business,"The show 'A Small Family Business' ran from 1992-04-05 to 1992-06-07. It had an average weekly revenue of $102,688.70 and a total revenue of $1,026,887.00."
Grand Hotel,"The show 'Grand Hotel' ran from 1989-11-19 to 1992-04-26. It had an average weekly revenue of $277,316.46 and a total revenue of $3,605,114.00."
The Master Builder,"The show 'The Master Builder' ran from 1992-03-15 to 1992-04-26. It had an average weekly revenue of $112,371.71 and a total revenue of $786,602.00."
Metro,"The show 'Metro' ran from 1992-03-29 to 1992-04-26. It had an average weekly revenue of $72,405.20 and a total revenue of $362,026.00."
Shimada,"The show 'Shimada' ran from 1992-04-12 to 1992-04-26. It had an average weekly revenue of $72,701.00 and a total revenue of $218,103.00."
The High Rollers Social and Pleasure Club,"The show 'The High Rollers Social and Pleasure Club' ran from 1992-04-12 to 1992-04-12. It had an average weekly revenue of $26,610.00 and a total revenue of $26,610.00."
Search and Destroy,"The show 'Search and Destroy' ran from 1992-02-09 to 1992-04-05. It had an average weekly revenue of $46,623.56 and a total revenue of $419,612.00."
A Little Hotel on the Side,"The show 'A Little Hotel on the Side' ran from 1992-01-19 to 1992-03-01. It had an average weekly revenue of $168,351.71 and a total revenue of $1,178,462.00."
Park Your Car in Harvard Yard,"The show 'Park Your Car in Harvard Yard' ran from 1991-11-03 to 1992-02-23. It had an average weekly revenue of $117,252.82 and a total revenue of $1,993,298.00."
Two Shakespearean Actors,"The show 'Two Shakespearean Actors' ran from 1991-12-22 to 1992-02-09. It had an average weekly revenue of $84,609.50 and a total revenue of $676,876.00."
Crazy He Calls Me,"The show 'Crazy He Calls Me' ran from 1992-01-19 to 1992-02-02. It had an average weekly revenue of $47,960.00 and a total revenue of $143,880.00."
City of Angels,"The show 'City of Angels' ran from 1989-11-26 to 1992-01-19. It had an average weekly revenue of $401,141.52 and a total revenue of $45,328,992.00."
On Borrowed Time,"The show 'On Borrowed Time' ran from 1991-09-22 to 1992-01-05. It had an average weekly revenue of $81,477.44 and a total revenue of $1,303,639.00."
Nick & Nora,"The show 'Nick & Nora' ran from 1991-10-13 to 1991-12-15. It had an average weekly revenue of $399,464.60 and a total revenue of $3,994,646.00."
Moscow Circus - Cirk Valentin,"The show 'Moscow Circus - Cirk Valentin' ran from 1991-11-10 to 1991-12-01. It had an average weekly revenue of $129,115.50 and a total revenue of $516,462.00."
André Heller's Wonderhouse,"The show 'André Heller's Wonderhouse' ran from 1991-10-13 to 1991-10-27. It had an average weekly revenue of $32,010.33 and a total revenue of $96,031.00."
Jackie Mason: Brand New,"The show 'Jackie Mason: Brand New' ran from 1990-10-14 to 1991-06-30. It had an average weekly revenue of $125,175.71 and a total revenue of $4,756,677.00."
Penn & Teller: The Refrigerator Tour,"The show 'Penn & Teller: The Refrigerator Tour' ran from 1991-03-31 to 1991-06-30. It had an average weekly revenue of $131,386.64 and a total revenue of $1,839,413.00."
I Hate Hamlet,"The show 'I Hate Hamlet' ran from 1991-03-24 to 1991-06-23. It had an average weekly revenue of $98,114.93 and a total revenue of $1,373,609.00."
Our Country's Good,"The show 'Our Country's Good' ran from 1991-04-21 to 1991-06-09. It had an average weekly revenue of $64,134.12 and a total revenue of $513,073.00."
Buddy - The Buddy Holly Story,"The show 'Buddy - The Buddy Holly Story' ran from 1990-10-28 to 1991-05-19. It had an average weekly revenue of $236,198.63 and a total revenue of $7,085,959.00."
Lucifer's Child,"The show 'Lucifer's Child' ran from 1991-03-31 to 1991-04-28. It had an average weekly revenue of $51,837.00 and a total revenue of $259,185.00."
Mule Bone,"The show 'Mule Bone' ran from 1991-01-20 to 1991-04-14. It had an average weekly revenue of $69,556.50 and a total revenue of $834,678.00."
Oh Kay!,"The show 'Oh Kay!' ran from 1990-10-21 to 1991-04-14. It had an average weekly revenue of $177,942.29 and a total revenue of $2,491,192.00."
Shadowlands,"The show 'Shadowlands' ran from 1990-11-04 to 1991-04-07. It had an average weekly revenue of $117,939.00 and a total revenue of $2,712,597.00."
The Speed of Darkness,"The show 'The Speed of Darkness' ran from 1991-02-17 to 1991-03-31. It had an average weekly revenue of $53,709.29 and a total revenue of $375,965.00."
Aspects of Love,"The show 'Aspects of Love' ran from 1990-03-25 to 1991-03-03. It had an average weekly revenue of $320,536.08 and a total revenue of $16,026,804.00."
Those Were the Days,"The show 'Those Were the Days' ran from 1990-10-28 to 1991-02-24. It had an average weekly revenue of $61,450.06 and a total revenue of $1,106,101.00."
A Few Good Men,"The show 'A Few Good Men' ran from 1989-11-05 to 1991-01-27. It had an average weekly revenue of $118,910.89 and a total revenue of $7,729,208.00."
Shogun the Musical,"The show 'Shogun the Musical' ran from 1990-11-04 to 1991-01-20. It had an average weekly revenue of $242,785.67 and a total revenue of $2,913,428.00."
The Miser,"The show 'The Miser' ran from 1990-09-23 to 1990-12-30. It had an average weekly revenue of $64,695.73 and a total revenue of $970,436.00."
Lettice and Lovage,"The show 'Lettice and Lovage' ran from 1990-03-18 to 1990-12-23. It had an average weekly revenue of $273,010.98 and a total revenue of $11,193,450.00."
Michael Feinstein in Concert: Piano and Voice,"The show 'Michael Feinstein in Concert: Piano and Voice' ran from 1990-10-07 to 1990-10-28. It had an average weekly revenue of $149,769.50 and a total revenue of $599,078.00."
Stand-Up Tragedy,"The show 'Stand-Up Tragedy' ran from 1990-09-30 to 1990-10-21. It had an average weekly revenue of $18,581.50 and a total revenue of $74,326.00."
Tru,"The show 'Tru' ran from 1989-12-03 to 1990-09-02. It had an average weekly revenue of $90,542.65 and a total revenue of $3,621,706.00."
The Cemetery Club,"The show 'The Cemetery Club' ran from 1990-05-13 to 1990-06-24. It had an average weekly revenue of $42,441.00 and a total revenue of $169,764.00."
Some Americans Abroad,"The show 'Some Americans Abroad' ran from 1990-04-29 to 1990-06-17. It had an average weekly revenue of $60,014.00 and a total revenue of $480,112.00."
Zoya's Apartment,"The show 'Zoya's Apartment' ran from 1990-04-29 to 1990-06-17. It had an average weekly revenue of $45,470.12 and a total revenue of $363,761.00."
Accomplice,"The show 'Accomplice' ran from 1990-04-08 to 1990-06-10. It had an average weekly revenue of $93,534.50 and a total revenue of $935,345.00."
Meet Me in St. Louis,"The show 'Meet Me in St. Louis' ran from 1989-10-22 to 1990-06-10. It had an average weekly revenue of $286,393.91 and a total revenue of $9,737,393.00."
Truly Blessed,"The show 'Truly Blessed' ran from 1990-04-15 to 1990-05-20. It had an average weekly revenue of $54,138.17 and a total revenue of $324,829.00."
A Change in the Heir,"The show 'A Change in the Heir' ran from 1990-04-15 to 1990-05-13. It had an average weekly revenue of $17,151.40 and a total revenue of $85,757.00."
Oba Oba '90,"The show 'Oba Oba '90' ran from 1990-03-11 to 1990-04-22. It had an average weekly revenue of $178,054.14 and a total revenue of $1,246,379.00."
Miss Margarida's Way,"The show 'Miss Margarida's Way' ran from 1990-02-11 to 1990-02-25. It had an average weekly revenue of $29,349.33 and a total revenue of $88,048.00."
Rumors,"The show 'Rumors' ran from 1988-11-13 to 1990-02-25. It had an average weekly revenue of $189,412.26 and a total revenue of $12,880,034.00."
Black and Blue,"The show 'Black and Blue' ran from 1989-01-01 to 1990-01-21. It had an average weekly revenue of $334,864.21 and a total revenue of $18,752,396.00."
The Tenth Man,"The show 'The Tenth Man' ran from 1989-11-12 to 1990-01-14. It had an average weekly revenue of $71,483.80 and a total revenue of $714,838.00."
Artist Descending a Staircase,"The show 'Artist Descending a Staircase' ran from 1989-11-26 to 1989-12-31. It had an average weekly revenue of $79,771.00 and a total revenue of $478,626.00."
Jerome Robbins' Broadway,"The show 'Jerome Robbins' Broadway' ran from 1989-01-15 to 1989-12-31. It had an average weekly revenue of $499,119.18 and a total revenue of $25,455,078.00."
Me and My Girl,"The show 'Me and My Girl' ran from 1986-08-03 to 1989-12-31. It had an average weekly revenue of $445,003.30 and a total revenue of $79,655,591.00."
Orpheus Descending,"The show 'Orpheus Descending' ran from 1989-09-17 to 1989-12-17. It had an average weekly revenue of $257,052.29 and a total revenue of $3,598,732.00."
